# Label: Avanti Sensor 2: EMG 2->RMean->Subset Sampling frequency: 1.000000e+003 Number of points: 5000 X start: 0.000000e+000 Unit: V Domain Unit: s
X [s],Avanti Sensor 2: EMG 2->RMean->Subset [V]
0.000000e+000,3.469433e-006
1.000000e-003,2.126640e-006
2.000000e-003,1.124478e-007
3.000000e-003,-5.589485e-007
4.000000e-003,-1.230345e-006
5.000000e-003,1.124478e-007
6.000000e-003,1.455244e-006
7.000000e-003,-1.230345e-006
8.000000e-003,1.455244e-006
9.000000e-003,6.155021e-006
1.000000e-002,4.812227e-006
1.100000e-002,6.155021e-006
1.200000e-002,4.812227e-006
1.300000e-002,7.838440e-007
1.400000e-002,1.455244e-006
1.500000e-002,2.126640e-006
1.600000e-002,3.469433e-006
1.700000e-002,6.155021e-006
1.800000e-002,3.469433e-006
1.900000e-002,1.119546e-006
2.000000e-002,-2.573137e-006
2.100000e-002,1.455244e-006
2.200000e-002,1.124478e-007
2.300000e-002,-1.230345e-006
2.400000e-002,-2.573137e-006
2.500000e-002,5.147925e-006
2.600000e-002,8.169212e-006
2.700000e-002,5.819323e-006
2.800000e-002,-5.589485e-007
2.900000e-002,-1.230345e-006
3.000000e-002,-5.589485e-007
3.100000e-002,-3.244537e-006
3.200000e-002,-4.923028e-006
3.300000e-002,-1.566043e-006
3.400000e-002,-2.573137e-006
3.500000e-002,-1.566043e-006
3.600000e-002,-4.251632e-006
3.700000e-002,-6.937220e-006
3.800000e-002,-7.944315e-006
3.900000e-002,-5.258726e-006
4.000000e-002,-5.258726e-006
4.100000e-002,-6.937220e-006
4.200000e-002,-9.287107e-006
4.300000e-002,-6.601522e-006
4.400000e-002,-2.573137e-006
4.500000e-002,-1.230345e-006
4.600000e-002,-2.908839e-006
4.700000e-002,-1.566043e-006
4.800000e-002,-1.230345e-006
4.900000e-002,-8.946466e-007
5.000000e-002,2.126640e-006
5.100000e-002,1.455244e-006
5.200000e-002,-5.589485e-007
5.300000e-002,2.462338e-006
5.400000e-002,1.455244e-006
5.500000e-002,-2.232504e-007
5.600000e-002,4.481459e-007
5.700000e-002,4.140831e-006
5.800000e-002,4.476529e-006
5.900000e-002,3.469433e-006
6.000000e-002,3.805133e-006
6.100000e-002,3.133735e-006
6.200000e-002,1.455244e-006
6.300000e-002,7.838440e-007
6.400000e-002,4.140831e-006
6.500000e-002,2.462338e-006
6.600000e-002,4.140831e-006
6.700000e-002,4.812227e-006
6.800000e-002,2.462338e-006
6.900000e-002,2.126640e-006
7.000000e-002,2.126640e-006
7.100000e-002,-2.908839e-006
