# Label: Avanti Sensor 1: EMG 1->RMean->Subset Sampling frequency: 1.000000e+003 Number of points: 5000 X start: 0.000000e+000 Unit: V Domain Unit: s
X [s],Avanti Sensor 1: EMG 1->RMean->Subset [V]
0.000000e+000,-5.283024e-007
1.000000e-003,1.821588e-006
2.000000e-003,3.500079e-006
3.000000e-003,3.164381e-006
4.000000e-003,2.157286e-006
5.000000e-003,-1.871095e-006
6.000000e-003,1.430939e-007
7.000000e-003,4.787956e-007
8.000000e-003,-2.878189e-006
9.000000e-003,-3.549589e-006
1.000000e-002,-5.563778e-006
1.100000e-002,-4.220985e-006
1.200000e-002,-1.199699e-006
1.300000e-002,-2.206793e-006
1.400000e-002,-8.640005e-007
1.500000e-002,4.787956e-007
1.600000e-002,4.787956e-007
1.700000e-002,3.835781e-006
1.800000e-002,3.500079e-006
1.900000e-002,2.492984e-006
2.000000e-002,3.835781e-006
2.100000e-002,1.150192e-006
2.200000e-002,2.492984e-006
2.300000e-002,1.821588e-006
2.400000e-002,1.430939e-007
2.500000e-002,-1.199699e-006
2.600000e-002,-1.926043e-007
2.700000e-002,4.787956e-007
2.800000e-002,3.164381e-006
2.900000e-002,-5.283024e-007
3.000000e-002,1.150192e-006
3.100000e-002,-1.535397e-006
3.200000e-002,-2.542491e-006
3.300000e-002,-1.199699e-006
3.400000e-002,-2.878189e-006
3.500000e-002,2.492984e-006
3.600000e-002,5.178573e-006
3.700000e-002,1.088545e-005
3.800000e-002,8.144938e-007
3.900000e-002,2.828683e-006
4.000000e-002,4.507177e-006
4.100000e-002,4.787956e-007
4.200000e-002,1.821588e-006
4.300000e-002,1.150192e-006
4.400000e-002,1.821588e-006
4.500000e-002,1.430939e-007
4.600000e-002,-1.362054e-005
4.700000e-002,-1.597043e-005
4.800000e-002,-7.577967e-006
4.900000e-002,-1.535397e-006
5.000000e-002,5.178573e-006
5.100000e-002,2.492984e-006
5.200000e-002,-1.127065e-005
5.300000e-002,-7.577967e-006
5.400000e-002,-1.294914e-005
5.500000e-002,-1.294914e-005
5.600000e-002,-5.563778e-006
5.700000e-002,-8.640005e-007
5.800000e-002,-7.242269e-006
5.900000e-002,-8.249363e-006
6.000000e-002,9.206954e-006
6.100000e-002,1.592092e-005
6.200000e-002,3.002026e-005
6.300000e-002,3.975552e-005
6.400000e-002,2.733467e-005
6.500000e-002,1.323534e-005
6.600000e-002,1.150192e-006
6.700000e-002,-8.249363e-006
6.800000e-002,-8.585068e-006
6.900000e-002,-5.563778e-006
7.000000e-002,-3.678374e-005
7.100000e-002,-2.100591e-005
7.200000e-002,1.189254e-005
7.300000e-002,3.941982e-005
7.400000e-002,3.002026e-005
7.500000e-002,8.535558e-006
7.600000e-002,-1.926043e-007
7.700000e-002,-1.535397e-006
7.800000e-002,-8.920767e-006
