# Label: Avanti Sensor 1: EMG 1->RMS Sampling frequency: 1.063830e+001 Number of points: 229 X start: 5.000000e-002 Unit: V Domain Unit: s
X [s],Avanti Sensor 1: EMG 1->RMS [V]
5.000000e-002,5.486830e-006
1.440000e-001,5.524855e-006
2.380000e-001,4.816036e-006
3.320000e-001,4.729608e-006
4.260000e-001,4.823234e-006
5.200000e-001,4.719045e-006
6.140000e-001,4.703660e-006
7.080000e-001,3.920587e-006
8.020000e-001,4.956056e-006
8.960000e-001,4.721549e-006
9.900000e-001,4.968824e-006
1.084000e+000,4.186359e-006
1.178000e+000,4.576160e-006
1.272000e+000,4.406667e-006
1.366000e+000,4.513318e-006
1.460000e+000,4.560594e-006
1.554000e+000,4.466417e-006
1.648000e+000,4.509260e-006
1.742000e+000,4.887212e-006
1.836000e+000,4.909482e-006
1.930000e+000,6.092209e-006
2.024000e+000,4.242921e-006
2.118000e+000,4.867842e-006
2.212000e+000,3.938995e-006
2.306000e+000,5.697160e-006
2.400000e+000,5.207446e-006
2.494000e+000,4.460917e-006
2.588000e+000,4.556284e-006
2.682000e+000,5.050399e-006
2.776000e+000,4.629820e-006
2.870000e+000,4.114315e-006
2.964000e+000,4.486560e-006
3.058000e+000,4.933575e-006
3.152000e+000,4.602980e-006
3.246000e+000,3.996750e-006
3.340000e+000,3.881636e-006
3.434000e+000,5.184433e-006
3.528000e+000,5.436264e-006
3.622000e+000,5.531634e-006
3.716000e+000,6.972337e-006
3.810000e+000,8.924140e-006
3.904000e+000,7.666555e-006
3.998000e+000,8.199870e-006
4.092000e+000,6.783804e-006
4.186000e+000,7.126757e-006
4.280000e+000,9.469217e-006
4.374000e+000,1.216367e-005
4.468000e+000,1.603268e-005
4.562000e+000,1.365476e-005
4.656000e+000,1.261249e-005
4.750000e+000,1.128794e-005
4.844000e+000,1.290565e-005
4.938000e+000,1.330062e-005
5.032000e+000,1.028296e-005
5.126000e+000,1.021961e-005
5.220000e+000,9.260095e-006
5.314000e+000,1.136824e-005
5.408000e+000,1.252909e-005
5.502000e+000,1.103088e-005
5.596000e+000,8.861613e-006
5.690000e+000,1.193140e-005
5.784000e+000,1.330268e-005
5.878000e+000,1.611078e-005
5.972000e+000,1.389955e-005
6.066000e+000,1.106144e-005
6.160000e+000,9.067560e-006
6.254000e+000,7.093635e-006
6.348000e+000,8.256963e-006
6.442000e+000,9.508697e-006
6.536000e+000,1.383833e-005
6.630000e+000,1.120406e-005
6.724000e+000,8.613966e-006
6.818000e+000,8.872616e-006
6.912000e+000,6.586496e-006
7.006000e+000,6.938493e-006
7.100000e+000,6.102858e-006
7.194000e+000,7.017249e-006
7.288000e+000,6.100540e-006
7.382000e+000,5.289464e-006
7.476000e+000,6.569640e-006
7.570000e+000,6.191093e-006
7.664000e+000,9.355189e-006
7.758000e+000,1.231256e-005
7.852000e+000,6.796846e-006
7.946000e+000,6.784035e-006
8.040000e+000,1.027763e-005
8.134000e+000,8.907666e-006
8.228000e+000,8.269574e-006
8.322000e+000,8.879963e-006
8.416000e+000,6.222754e-006
8.510000e+000,6.859599e-006
8.604000e+000,5.746656e-006
8.698000e+000,6.524623e-006
8.792000e+000,7.039235e-006
8.886000e+000,6.002326e-006
8.980000e+000,5.462037e-006
9.074000e+000,6.607342e-006
9.168000e+000,5.974704e-006
9.262000e+000,4.621741e-006
9.356000e+000,5.397257e-006
9.450000e+000,5.355653e-006
9.544000e+000,5.412633e-006
9.638000e+000,5.374407e-006
9.732000e+000,4.368886e-006
9.826000e+000,5.107740e-006
9.920000e+000,5.536417e-006
1.001400e+001,5.625049e-006
1.010800e+001,8.227162e-006
1.020200e+001,6.245881e-006
1.029600e+001,1.261586e-005
1.039000e+001,9.026539e-006
1.048400e+001,6.110202e-006
1.057800e+001,5.899836e-006
1.067200e+001,5.352057e-006
1.076600e+001,6.633828e-006
1.086000e+001,4.968092e-006
1.095400e+001,6.824528e-006
1.104800e+001,9.821149e-006
1.114200e+001,3.093540e-005
