X[s],Avanti Sensor 1: Roll 1 [degrees],X[s],Avanti Sensor 1: Pitch 1 [degrees],X[s],Avanti Sensor 1: Yaw 1 [degrees]
0.0,-1.7433397727693785,0.0,-0.4846916595018228,0.0,-92.6885490019348
0.015,-1.744619441499477,0.015,-0.4813655440813327,0.015,-92.6900922554502
0.03,-1.7455804272230806,0.03,-0.4811564367887838,0.03,-92.68263855533391
0.045,-1.745768906783555,0.045,-0.48040945522643597,0.045,-92.68430721635397
0.06,-1.747083024423147,0.06,-0.48061745288647917,0.06,-92.69594012647973
0.075,-1.7458496017613316,0.075,-0.48021099774790077,0.075,-92.70024713176544
0.09,-1.74536444746018,0.09,-0.48246862186469874,0.09,-92.69789489804681
0.105,-1.7491430137270971,0.105,-0.48198609964214695,0.105,-92.69379168177046
0.12,-1.7433638142606003,0.12,-0.48536811057592644,0.12,-92.69020416405115
0.135,-1.7437203903721084,0.135,-0.48668610056075573,0.135,-92.72373394827032
0.15,-1.7445323427573611,0.15,-0.48438739586294094,0.15,-92.73755755892428
0.165,-1.743191672170204,0.165,-0.47976241869868674,0.165,-92.75619689985993
0.18,-1.7452286124241694,0.18,-0.47690039116564714,0.18,-92.74894213443277
0.195,-1.7438296805584959,0.195,-0.48072748429844725,0.195,-92.75951600269477
0.21,-1.744834848771396,0.21,-0.47903291708058704,0.21,-92.7489141915496
0.225,-1.7405302238874938,0.225,-0.4779767745099383,0.225,-92.7505336874196
0.24,-1.743532727875871,0.24,-0.4742443864506431,0.24,-92.76456264821299
0.255,-1.7461448387943885,0.255,-0.47016915997044995,0.255,-92.7671341482727
0.27,-1.7425504507946863,0.27,-0.46842126250996363,0.27,-92.75348661789205
0.285,-1.744734982113175,0.285,-0.4726211116587537,0.285,-92.73768191734328
0.3,-1.7434101086812794,0.3,-0.47446807589691814,0.3,-92.72485666130704
0.315,-1.7388686613177091,0.315,-0.47229519510960094,0.315,-92.71552921604838
0.33,-1.7375949708218337,0.33,-0.47743670769281304,0.33,-92.70981483906043
0.345,-1.7364323238294206,0.345,-0.4734619853773625,0.345,-92.72678153087753
0.36,-1.7360548662688733,0.36,-0.47169807519025486,0.36,-92.72380684725199
0.375,-1.7352095688542344,0.375,-0.47247216361977523,0.375,-92.7237890021054
0.39,-1.7350447284533257,0.39,-0.47019787916351174,0.39,-92.7160078701233
0.405,-1.7278080448497546,0.405,-0.47406871393806366,0.405,-92.73398378796834
0.42,-1.7273812455965383,0.42,-0.47762382316239393,0.42,-92.73792198471227
0.435,-1.7251497128311681,0.435,-0.47699081931493553,0.435,-92.7432217497804
0.45,-1.7229674482369233,0.45,-0.48483279290918957,0.45,-92.73298064358373
0.465,-1.722575806145781,0.465,-0.4868954423857473,0.465,-92.72531499544075
0.48,-1.7220230854064371,0.48,-0.48468663346913526,0.48,-92.70839347943469
0.495,-1.716985659026632,0.495,-0.47963850390516277,0.495,-92.69526735976069
0.51,-1.7224886729666533,0.51,-0.48279832302486797,0.51,-92.67072990394722
0.525,-1.716946848498019,0.525,-0.4860780426008141,0.525,-92.63759971444125
0.54,-1.7155794560238646,0.54,-0.48868694749634156,0.54,-92.6335748415165
0.555,-1.7177021031693018,0.555,-0.4874213037199139,0.555,-92.6292975219933
0.57,-1.7135342366488653,0.57,-0.4841102362998523,0.57,-92.63791582297134
0.585,-1.7178581714538814,0.585,-0.4856379220854615,0.585,-92.63346622427609
0.6,-1.7179123891297017,0.6,-0.4840861437426207,0.6,-92.64410438632557
0.615,-1.720029035937838,0.615,-0.48254183368462183,0.615,-92.63700788900553
0.63,-1.7161036072798186,0.63,-0.48721657796422063,0.63,-92.581003603432
0.645,-1.7138084757776804,0.645,-0.4891896114634449,0.645,-92.57382591362048
0.66,-1.7130610381870572,0.66,-0.4927602896965861,0.66,-92.5520551209648
0.675,-1.7176269393531964,0.675,-0.49497530980032656,0.675,-92.56087483399563
0.69,-1.716840350983875,0.69,-0.4959581770199192,0.69,-92.54261202892988
0.705,-1.7183311625873021,0.705,-0.4972554822647694,0.705,-92.52172694311771
0.72,-1.7174799024008351,0.72,-0.4978352954765027,0.72,-92.49999318372353
0.735,-1.7204103118359313,0.735,-0.4967724616033195,0.735,-92.50119841593886
0.75,-1.7201697327236753,0.75,-0.4958737534081138,0.75,-92.51413612670883
0.765,-1.7195444622978326,0.765,-0.49486020693109684,0.765,-92.48844961267909
0.78,-1.7156519114706825,0.78,-0.49520563137023155,0.78,-92.47944988190619
0.795,-1.7154627833215916,0.795,-0.49375057803441064,0.795,-92.46322604702316
0.81,-1.7214731850027265,0.81,-0.4949266642317205,0.81,-92.45284610320539
0.825,-1.720584908682436,0.825,-0.49536535033378504,0.825,-92.45282835201833
0.84,-1.716012549896376,0.84,-0.49822495563440516,0.84,-92.45606310232044
0.855,-1.7117111639194722,0.855,-0.4989036136213992,0.855,-92.4651214343658
0.87,-1.71573332179673,0.87,-0.4960039855889652,0.87,-92.46071841019503
0.885,-1.7111651115871391,0.885,-0.49666531458605273,0.885,-92.48717516956833
0.9,-1.7124965188944083,0.9,-0.49564919247142575,0.9,-92.50078781224215
0.915,-1.7109734772573355,0.915,-0.49603682646058334,0.915,-92.5030893568127
0.93,-1.7116172404485508,0.93,-0.4935664969914058,0.93,-92.52234999762366
0.945,-1.7098952000812933,0.945,-0.49461991815227135,0.945,-92.5334280095701
0.96,-1.7128567765997855,0.96,-0.4964520773001682,0.96,-92.53659424012255
0.975,-1.7175384892526508,0.975,-0.49419580658861134,0.975,-92.52655762270466
0.99,-1.7194326130046844,0.99,-0.49641631207421427,0.99,-92.55026548558261
1.005,-1.720588218959873,1.005,-0.49687530652841494,1.005,-92.55558123305777
1.02,-1.7208069437247484,1.02,-0.4951027657372563,1.02,-92.54448918350786
1.035,-1.7238299038578977,1.035,-0.494197988247823,1.035,-92.55216209380569
1.05,-1.727684411818944,1.05,-0.4905883510935421,1.05,-92.58226281454935
1.065,-1.7250441135802637,1.065,-0.48641783636857555,1.065,-92.62375164650967
1.08,-1.7176706377405067,1.08,-0.5469720886117864,1.08,-92.89068376993457
1.095,-1.7276283238695507,1.095,-0.5803460294687405,1.095,-93.4474678647188
1.11,-1.7437268628300595,1.11,-0.6070210191139367,1.11,-94.075724869791
1.125,-1.693223701277996,1.125,-0.6009119886447598,1.125,-94.43085660705636
1.14,-1.5959649710916661,1.14,-0.5400472408937793,1.14,-94.60956174184629
1.155,-1.6070264520917357,1.155,-0.5463507512719127,1.155,-94.59610255622272
1.17,-1.6075370554174697,1.17,-0.549246966195601,1.17,-94.55215392126595
1.185,-1.6205441094666015,1.185,-0.5617835569160985,1.185,-94.52210348593428
1.2,-1.6185499027426193,1.2,-0.5629856271978907,1.2,-94.50417872016388
1.215,-1.6113121569269164,1.215,-0.5606512707381811,1.215,-94.45145426197863
1.23,-1.6112715234721715,1.23,-0.5586784221810793,1.23,-94.40928239958826
1.245,-1.6137762116650478,1.245,-0.5622950374649861,1.245,-94.36339285977493
