# Label: Avanti Sensor 1: EMG 1 Sampling frequency: 1.000000e+003 Number of points: 33000 X start: 0.000000e+000 Unit: V Domain Unit: s
# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 2200 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.500000e+002
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: EMG 1 [V],X [s],Avanti Sensor 1: Pitch 1 [degrees],X [s],Avanti Sensor 1: Roll 1 [degrees],X [s],Avanti Sensor 1: Yaw 1 [degrees]
0.00000e+000,-7.13091e-003,0.00000e+000,-1.80932e+000,0.00000e+000,-3.88316e-001,0.00000e+000,-9.37945e+001
1.00000e-003,-1.05460e-002,1.50000e-002,-1.80652e+000,1.50000e-002,-3.88535e-001,1.50000e-002,-9.38164e+001
2.00000e-003,-1.09864e-002,3.00000e-002,-1.80397e+000,3.00000e-002,-3.86703e-001,3.00000e-002,-9.38255e+001
3.00000e-003,-1.07316e-002,4.50000e-002,-1.79908e+000,4.50000e-002,-3.88371e-001,4.50000e-002,-9.38484e+001
4.00000e-003,-8.57441e-003,6.00000e-002,-1.79939e+000,6.00000e-002,-3.86837e-001,6.00000e-002,-9.38643e+001
5.00000e-003,-4.60981e-003,7.50000e-002,-1.79692e+000,7.50000e-002,-3.87236e-001,7.50000e-002,-9.38662e+001
6.00000e-003,-7.94598e-004,9.00000e-002,-1.79367e+000,9.00000e-002,-3.88217e-001,9.00000e-002,-9.38793e+001
7.00000e-003,2.78831e-003,1.05000e-001,-1.79321e+000,1.05000e-001,-3.89216e-001,1.05000e-001,-9.38938e+001
8.00000e-003,6.33732e-003,1.20000e-001,-1.79234e+000,1.20000e-001,-3.94843e-001,1.20000e-001,-9.39127e+001
9.00000e-003,9.54189e-003,1.35000e-001,-1.79819e+000,1.35000e-001,-3.90691e-001,1.35000e-001,-9.39299e+001
1.00000e-002,1.07763e-002,1.50000e-001,-1.80012e+000,1.50000e-001,-3.90819e-001,1.50000e-001,-9.39469e+001
1.10000e-002,1.03902e-002,1.65000e-001,-1.79978e+000,1.65000e-001,-3.88948e-001,1.65000e-001,-9.39256e+001
1.20000e-002,8.39649e-003,1.80000e-001,-1.80002e+000,1.80000e-001,-3.89565e-001,1.80000e-001,-9.39161e+001
1.30000e-002,5.29833e-003,1.95000e-001,-1.79877e+000,1.95000e-001,-3.94109e-001,1.95000e-001,-9.39308e+001
1.40000e-002,2.02594e-003,2.10000e-001,-1.80237e+000,2.10000e-001,-3.97018e-001,2.10000e-001,-9.39326e+001
1.50000e-002,-1.30083e-003,2.25000e-001,-1.80486e+000,2.25000e-001,-3.97595e-001,2.25000e-001,-9.39697e+001
1.60000e-002,-4.77498e-003,2.40000e-001,-1.80312e+000,2.40000e-001,-3.95842e-001,2.40000e-001,-9.39803e+001
1.70000e-002,-8.77314e-003,2.55000e-001,-1.80683e+000,2.55000e-001,-3.97602e-001,2.55000e-001,-9.39938e+001
1.80000e-002,-1.09780e-002,2.70000e-001,-1.80713e+000,2.70000e-001,-3.94738e-001,2.70000e-001,-9.39766e+001
1.90000e-002,-1.09082e-002,2.85000e-001,-1.80890e+000,2.85000e-001,-3.90162e-001,2.85000e-001,-9.39697e+001
2.00000e-002,-1.03560e-002,3.00000e-001,-1.81555e+000,3.00000e-001,-3.94135e-001,3.00000e-001,-9.39707e+001
2.10000e-002,-7.25679e-003,3.15000e-001,-1.82165e+000,3.15000e-001,-3.90424e-001,3.15000e-001,-9.39791e+001
2.20000e-002,-3.19283e-003,3.30000e-001,-1.82086e+000,3.30000e-001,-3.90118e-001,3.30000e-001,-9.39882e+001
2.30000e-002,5.39467e-004,3.45000e-001,-1.81851e+000,3.45000e-001,-3.91174e-001,3.45000e-001,-9.39907e+001
