# Label: Avanti Sensor 1: EMG 1 Sampling frequency: 1.000000e+003 Number of points: 29220 X start: 0.000000e+000 Unit: V Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.W Sampling frequency: 6.666667e+001 Number of points: 1948 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.X Sampling frequency: 6.666667e+001 Number of points: 1948 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.Y Sampling frequency: 6.666667e+001 Number of points: 1948 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.Z Sampling frequency: 6.666667e+001 Number of points: 1948 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.Accuracy Sampling frequency: 6.666667e+001 Number of points: 1948 X start: 0.000000e+000 Unit: OrientationAccuracy Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.500000e+002
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: EMG 1 [V],X [s],Avanti Sensor 1: Quat 1.W [Orientation],X [s],Avanti Sensor 1: Quat 1.X [Orientation],X [s],Avanti Sensor 1: Quat 1.Y [Orientation],X [s],Avanti Sensor 1: Quat 1.Z [Orientation],X [s],Avanti Sensor 1: Quat 1.Accuracy [OrientationAccuracy]
0.00000e+000,-3.09178e-004,0.00000e+000,6.90190e-001,0.00000e+000,-1.35616e-002,0.00000e+000,8.08694e-003,0.00000e+000,-7.23455e-001,0.00000e+000,4.10156e-002
1.00000e-003,3.14382e-003,1.50000e-002,6.90181e-001,1.50000e-002,-1.35482e-002,1.50000e-002,8.11523e-003,1.50000e-002,-7.23464e-001,1.50000e-002,4.10156e-002
2.00000e-003,6.48804e-003,3.00000e-002,6.90227e-001,3.00000e-002,-1.35532e-002,3.00000e-002,8.12169e-003,3.00000e-002,-7.23419e-001,3.00000e-002,4.10156e-002
3.00000e-003,9.70269e-003,4.50000e-002,6.90217e-001,4.50000e-002,-1.35495e-002,4.50000e-002,8.12757e-003,4.50000e-002,-7.23429e-001,4.50000e-002,4.10156e-002
4.00000e-003,1.08024e-002,6.00000e-002,6.90144e-001,6.00000e-002,-1.35579e-002,6.00000e-002,8.13598e-003,6.00000e-002,-7.23499e-001,6.00000e-002,4.10156e-002
5.00000e-003,1.04063e-002,7.50000e-002,6.90117e-001,7.50000e-002,-1.35476e-002,7.50000e-002,8.13115e-003,7.50000e-002,-7.23525e-001,7.50000e-002,4.10156e-002
6.00000e-003,8.32197e-003,9.00000e-002,6.90131e-001,9.00000e-002,-1.35591e-002,9.00000e-002,8.11422e-003,9.00000e-002,-7.23511e-001,9.00000e-002,4.10156e-002
7.00000e-003,5.07677e-003,1.05000e-001,6.90157e-001,1.05000e-001,-1.35791e-002,1.05000e-001,8.14049e-003,1.05000e-001,-7.23486e-001,1.05000e-001,4.10156e-002
8.00000e-003,1.73153e-003,1.20000e-001,6.90179e-001,1.20000e-001,-1.35659e-002,1.20000e-001,8.08322e-003,1.20000e-001,-7.23465e-001,1.20000e-001,4.10156e-002
9.00000e-003,-1.53716e-003,1.35000e-001,6.89968e-001,1.35000e-001,-1.35740e-002,1.35000e-001,8.08149e-003,1.35000e-001,-7.23667e-001,1.35000e-001,4.10156e-002
1.00000e-002,-4.84446e-003,1.50000e-001,6.89880e-001,1.50000e-001,-1.35634e-002,1.50000e-001,8.10211e-003,1.50000e-001,-7.23750e-001,1.50000e-001,4.10156e-002
1.10000e-002,-8.66606e-003,1.65000e-001,6.89763e-001,1.65000e-001,-1.35248e-002,1.65000e-001,8.12369e-003,1.65000e-001,-7.23862e-001,1.65000e-001,4.10156e-002
1.20000e-002,-1.09750e-002,1.80000e-001,6.89809e-001,1.80000e-001,-1.35195e-002,1.80000e-001,8.15293e-003,1.80000e-001,-7.23818e-001,1.80000e-001,4.10156e-002
1.30000e-002,-1.08944e-002,1.95000e-001,6.89742e-001,1.95000e-001,-1.35345e-002,1.95000e-001,8.12230e-003,1.95000e-001,-7.23882e-001,1.95000e-001,4.10156e-002
1.40000e-002,-1.01680e-002,2.10000e-001,6.89809e-001,2.10000e-001,-1.35306e-002,2.10000e-001,8.13760e-003,2.10000e-001,-7.23818e-001,2.10000e-001,4.10156e-002
1.50000e-002,-6.86940e-003,2.25000e-001,6.89800e-001,2.25000e-001,-1.34979e-002,2.25000e-001,8.11695e-003,2.25000e-001,-7.23828e-001,2.25000e-001,4.10156e-002
1.60000e-002,-2.81147e-003,2.40000e-001,6.89712e-001,2.40000e-001,-1.34914e-002,2.40000e-001,8.16003e-003,2.40000e-001,-7.23912e-001,2.40000e-001,4.10156e-002
1.70000e-002,9.04707e-004,2.55000e-001,6.89695e-001,2.55000e-001,-1.34812e-002,2.55000e-001,8.20138e-003,2.55000e-001,-7.23927e-001,2.55000e-001,4.10156e-002
1.80000e-002,4.32010e-003,2.70000e-001,6.89782e-001,2.70000e-001,-1.34495e-002,2.70000e-001,8.18759e-003,2.70000e-001,-7.23845e-001,2.70000e-001,4.10156e-002
1.90000e-002,7.64285e-003,2.85000e-001,6.89882e-001,2.85000e-001,-1.34903e-002,2.85000e-001,8.17423e-003,2.85000e-001,-7.23750e-001,2.85000e-001,4.10156e-002
2.00000e-002,1.03660e-002,3.00000e-001,6.89963e-001,3.00000e-001,-1.34949e-002,3.00000e-001,8.15323e-003,3.00000e-001,-7.23673e-001,3.00000e-001,4.10156e-002
2.10000e-002,1.07353e-002,3.15000e-001,6.90022e-001,3.15000e-001,-1.34545e-002,3.15000e-001,8.13655e-003,3.15000e-001,-7.23617e-001,3.15000e-001,4.10156e-002
2.20000e-002,9.94372e-003,3.30000e-001,6.90057e-001,3.30000e-001,-1.34797e-002,3.30000e-001,8.09688e-003,3.30000e-001,-7.23583e-001,3.30000e-001,4.10156e-002
2.30000e-002,7.24337e-003,3.45000e-001,6.89951e-001,3.45000e-001,-1.34464e-002,3.45000e-001,8.11546e-003,3.45000e-001,-7.23685e-001,3.45000e-001,4.10156e-002
2.40000e-002,3.91727e-003,3.60000e-001,6.89970e-001,3.60000e-001,-1.34332e-002,3.60000e-001,8.12335e-003,3.60000e-001,-7.23667e-001,3.60000e-001,4.10156e-002
2.50000e-002,5.99893e-004,3.75000e-001,6.89970e-001,3.75000e-001,-1.34330e-002,3.75000e-001,8.11335e-003,3.75000e-001,-7.23667e-001,3.75000e-001,4.10156e-002
2.60000e-002,-2.65202e-003,3.90000e-001,6.90019e-001,3.90000e-001,-1.34182e-002,3.90000e-001,8.12510e-003,3.90000e-001,-7.23620e-001,3.90000e-001,4.10156e-002
2.70000e-002,-5.98584e-003,4.05000e-001,6.89906e-001,4.05000e-001,-1.33978e-002,4.05000e-001,8.05819e-003,4.05000e-001,-7.23729e-001,4.05000e-001,4.10156e-002
2.80000e-002,-9.80508e-003,4.20000e-001,6.89882e-001,4.20000e-001,-1.34174e-002,4.20000e-001,8.03453e-003,4.20000e-001,-7.23753e-001,4.20000e-001,4.10156e-002
2.90000e-002,-1.09851e-002,4.35000e-001,6.89848e-001,4.35000e-001,-1.33996e-002,4.35000e-001,8.02488e-003,4.35000e-001,-7.23785e-001,4.35000e-001,4.10156e-002
3.00000e-002,-1.08108e-002,4.50000e-001,6.89912e-001,4.50000e-001,-1.34367e-002,4.50000e-001,7.96268e-003,4.50000e-001,-7.23724e-001,4.50000e-001,4.10156e-002
3.10000e-002,-9.31362e-003,4.65000e-001,6.89960e-001,4.65000e-001,-1.34479e-002,4.65000e-001,7.94689e-003,4.65000e-001,-7.23678e-001,4.65000e-001,4.10156e-002
3.20000e-002,-5.48968e-003,4.80000e-001,6.90067e-001,4.80000e-001,-1.34318e-002,4.80000e-001,7.95472e-003,4.80000e-001,-7.23576e-001,4.80000e-001,4.10156e-002
3.30000e-002,-1.50661e-003,4.95000e-001,6.90152e-001,4.95000e-001,-1.33705e-002,4.95000e-001,7.95177e-003,4.95000e-001,-7.23497e-001,4.95000e-001,4.10156e-002
3.40000e-002,2.04977e-003,5.10000e-001,6.90305e-001,5.10000e-001,-1.34253e-002,5.10000e-001,7.96462e-003,5.10000e-001,-7.23349e-001,5.10000e-001,4.10156e-002
