# Label: Avanti Sensor 1: EMG 1->RMean->Subset Sampling frequency: 1.000000e+003 Number of points: 5000 X start: 0.000000e+000 Unit: V Domain Unit: s
X [s],Avanti Sensor 1: EMG 1->RMean->Subset [V]
0.000000e+000,2.811013e-005
1.000000e-003,2.978863e-005
2.000000e-003,2.911723e-005
3.000000e-003,1.031811e-005
4.000000e-003,-1.183799e-005
5.000000e-003,-1.989475e-005
6.000000e-003,-1.418788e-005
7.000000e-003,2.508885e-005
8.000000e-003,3.851679e-005
9.000000e-003,2.576024e-005
1.000000e-002,2.173186e-005
1.100000e-002,-2.056614e-005
1.200000e-002,-8.065618e-005
1.300000e-002,-8.904864e-005
1.400000e-002,-5.380030e-005
1.500000e-002,1.254253e-006
1.600000e-002,2.710304e-005
1.700000e-002,1.166091e-005
1.800000e-002,-2.358743e-005
1.900000e-002,-2.224464e-005
2.000000e-002,-2.438430e-006
2.100000e-002,-6.466808e-006
2.200000e-002,4.946936e-006
2.300000e-002,1.266800e-005
2.400000e-002,3.247421e-005
2.500000e-002,4.724495e-005
2.600000e-002,3.851679e-005
2.700000e-002,-6.802513e-006
2.800000e-002,-4.607923e-005
2.900000e-002,-6.722824e-005
3.000000e-002,-2.056614e-005
3.100000e-002,2.844583e-005
3.200000e-002,5.496601e-005
3.300000e-002,4.388796e-005
3.400000e-002,3.146712e-005
3.500000e-002,2.710304e-005
3.600000e-002,2.710304e-005
3.700000e-002,2.945293e-005
3.800000e-002,1.434649e-005
3.900000e-002,-3.667968e-005
4.000000e-002,-1.206043e-004
4.100000e-002,-1.380606e-004
4.200000e-002,-9.274132e-005
4.300000e-002,-5.795412e-006
4.400000e-002,2.978863e-005
4.500000e-002,3.784539e-005
4.600000e-002,4.858774e-005
4.700000e-002,2.978863e-005
4.800000e-002,4.946936e-006
4.900000e-002,-5.459713e-006
5.000000e-002,4.946936e-006
5.100000e-002,1.837488e-005
5.200000e-002,1.938197e-005
5.300000e-002,1.837488e-005
5.400000e-002,2.005337e-005
5.500000e-002,1.971767e-005
5.600000e-002,1.904627e-005
5.700000e-002,4.275540e-006
5.800000e-002,-2.325174e-005
5.900000e-002,-3.466548e-005
6.000000e-002,-5.795412e-006
6.100000e-002,1.401080e-005
6.200000e-002,2.408175e-005
6.300000e-002,2.307466e-005
6.400000e-002,2.173186e-005
6.500000e-002,1.098951e-005
6.600000e-002,2.597049e-006
6.700000e-002,7.632525e-006
6.800000e-002,1.065381e-005
6.900000e-002,7.632525e-006
7.000000e-002,4.611238e-006
7.100000e-002,-6.466808e-006
7.200000e-002,-5.795412e-006
7.300000e-002,4.946936e-006
7.400000e-002,4.946936e-006
7.500000e-002,2.597049e-006
7.600000e-002,6.289732e-006
7.700000e-002,1.803918e-005
7.800000e-002,1.098951e-005
7.900000e-002,-4.452619e-006
8.000000e-002,-9.488098e-006
8.100000e-002,-1.095634e-006
8.200000e-002,2.844583e-005
8.300000e-002,5.395892e-005
8.400000e-002,1.770348e-005
8.500000e-002,-5.984287e-005
8.600000e-002,-9.072713e-005
8.700000e-002,-8.132757e-005
8.800000e-002,-2.929431e-005
8.900000e-002,-5.124015e-006
9.000000e-002,-2.102732e-006
9.100000e-002,2.471585e-007
9.200000e-002,3.985958e-005
9.300000e-002,8.282898e-005
9.400000e-002,9.961391e-005
9.500000e-002,6.872965e-005
9.600000e-002,2.408175e-005
9.700000e-002,-5.245750e-005
9.800000e-002,-1.320180e-004
9.900000e-002,-1.367178e-004
1.000000e-001,-9.374842e-005
1.010000e-001,-3.667968e-005
1.020000e-001,1.602499e-005
1.030000e-001,2.173186e-005
1.040000e-001,1.233230e-005
1.050000e-001,2.261351e-006
1.060000e-001,4.946936e-006
1.070000e-001,1.636069e-005
1.080000e-001,3.952388e-005
1.090000e-001,8.551457e-005
1.100000e-001,8.685737e-005
1.110000e-001,8.685737e-005
1.120000e-001,6.839395e-005
1.130000e-001,1.098951e-005
1.140000e-001,-3.902956e-005
1.150000e-001,-8.300606e-005
1.160000e-001,-9.106283e-005
1.170000e-001,-9.542691e-005
1.180000e-001,-3.365839e-005
1.190000e-001,1.636069e-005
1.200000e-001,3.448840e-005
1.210000e-001,6.369417e-005
1.220000e-001,6.369417e-005
1.230000e-001,3.247421e-005
1.240000e-001,2.471585e-007
1.250000e-001,-4.473644e-005
1.260000e-001,-3.667968e-005
