# Label: Avanti Sensor 1: EMG 1 Sampling frequency: 1.000000e+003 Number of points: 21600 X start: 0.000000e+000 Unit: V Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.W Sampling frequency: 6.666667e+001 Number of points: 1440 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.X Sampling frequency: 6.666667e+001 Number of points: 1440 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.Y Sampling frequency: 6.666667e+001 Number of points: 1440 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.Z Sampling frequency: 6.666667e+001 Number of points: 1440 X start: 0.000000e+000 Unit: Orientation Domain Unit: s
# Label: Avanti Sensor 1: Quat 1.Accuracy Sampling frequency: 6.666667e+001 Number of points: 1440 X start: 0.000000e+000 Unit: OrientationAccuracy Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.500000e+002
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: EMG 1 [V],X [s],Avanti Sensor 1: Quat 1.W [Orientation],X [s],Avanti Sensor 1: Quat 1.X [Orientation],X [s],Avanti Sensor 1: Quat 1.Y [Orientation],X [s],Avanti Sensor 1: Quat 1.Z [Orientation],X [s],Avanti Sensor 1: Quat 1.Accuracy [OrientationAccuracy]
0.00000e+000,-6.21042e-005,0.00000e+000,7.95304e-001,0.00000e+000,3.55934e-002,0.00000e+000,3.75552e-002,0.00000e+000,6.03998e-001,0.00000e+000,3.54004e-002
1.00000e-003,-5.94186e-005,1.50000e-002,7.94879e-001,1.50000e-002,3.55345e-002,1.50000e-002,3.74236e-002,1.50000e-002,6.04568e-001,1.50000e-002,3.54004e-002
2.00000e-003,-6.34470e-005,3.00000e-002,7.94501e-001,3.00000e-002,3.54768e-002,3.00000e-002,3.72607e-002,3.00000e-002,6.05079e-001,3.00000e-002,3.54004e-002
3.00000e-003,-5.94186e-005,4.50000e-002,7.94413e-001,4.50000e-002,3.55849e-002,4.50000e-002,3.70429e-002,4.50000e-002,6.05201e-001,4.50000e-002,3.54004e-002
4.00000e-003,-6.14328e-005,6.00000e-002,7.94440e-001,6.00000e-002,3.57470e-002,6.00000e-002,3.70647e-002,6.00000e-002,6.05155e-001,6.00000e-002,3.54004e-002
5.00000e-003,-6.14328e-005,7.50000e-002,7.94418e-001,7.50000e-002,3.63392e-002,7.50000e-002,3.74558e-002,7.50000e-002,6.05125e-001,7.50000e-002,3.54004e-002
6.00000e-003,-5.94186e-005,9.00000e-002,7.94210e-001,9.00000e-002,3.69098e-002,9.00000e-002,3.78401e-002,9.00000e-002,6.05338e-001,9.00000e-002,3.54004e-002
7.00000e-003,-6.04257e-005,1.05000e-001,7.94071e-001,1.05000e-001,3.73769e-002,1.05000e-001,3.76938e-002,1.05000e-001,6.05502e-001,1.05000e-001,3.54004e-002
8.00000e-003,-5.94186e-005,1.20000e-001,7.93727e-001,1.20000e-001,3.76261e-002,1.20000e-001,3.71127e-002,1.20000e-001,6.05973e-001,1.20000e-001,3.54004e-002
9.00000e-003,-6.21042e-005,1.35000e-001,7.93508e-001,1.35000e-001,3.77528e-002,1.35000e-001,3.68020e-002,1.35000e-001,6.06270e-001,1.35000e-001,3.54004e-002
1.00000e-002,-6.51255e-005,1.50000e-001,7.93182e-001,1.50000e-001,3.78972e-002,1.50000e-001,3.62882e-002,1.50000e-001,6.06719e-001,1.50000e-001,3.54004e-002
1.10000e-002,-6.34470e-005,1.65000e-001,7.93049e-001,1.65000e-001,3.83454e-002,1.65000e-001,3.57752e-002,1.65000e-001,6.06895e-001,1.65000e-001,3.54004e-002
1.20000e-002,-6.47898e-005,1.80000e-001,7.92822e-001,1.80000e-001,3.84549e-002,1.80000e-001,3.53539e-002,1.80000e-001,6.07209e-001,1.80000e-001,3.54004e-002
