# Label: Avanti Sensor 1: EMG 1->RMean->Subset Sampling frequency: 1.000000e+003 Number of points: 12000 X start: 0.000000e+000 Unit: V Domain Unit: s
X [s],Avanti Sensor 1: EMG 1->RMean->Subset [V]
0.000000e+000,-2.438430e-006
1.000000e-003,9.185548e-007
2.000000e-003,-3.109826e-006
3.000000e-003,-7.599359e-007
4.000000e-003,3.604143e-006
5.000000e-003,4.275540e-006
6.000000e-003,6.289732e-006
7.000000e-003,8.303921e-006
8.000000e-003,5.282634e-006
9.000000e-003,2.471585e-007
1.000000e-002,-3.781223e-006
1.100000e-002,3.604143e-006
1.200000e-002,6.961128e-006
1.300000e-002,1.589951e-006
1.400000e-002,-7.599359e-007
1.500000e-002,-5.124015e-006
1.600000e-002,-5.124015e-006
1.700000e-002,-4.116921e-006
1.800000e-002,-6.131110e-006
1.900000e-002,-8.816702e-006
2.000000e-002,-9.152400e-006
2.100000e-002,-4.788317e-006
2.200000e-002,-3.445525e-006
2.300000e-002,-1.431336e-006
2.400000e-002,9.185548e-007
2.500000e-002,3.939842e-006
2.600000e-002,9.646717e-006
2.700000e-002,5.618336e-006
2.800000e-002,6.625430e-006
2.900000e-002,2.932747e-006
3.000000e-002,2.471585e-007
3.100000e-002,4.275540e-006
3.200000e-002,-3.781223e-006
3.300000e-002,-4.116921e-006
3.400000e-002,2.261351e-006
3.500000e-002,6.289732e-006
3.600000e-002,3.604143e-006
3.700000e-002,4.275540e-006
3.800000e-002,1.254253e-006
3.900000e-002,-4.452619e-006
4.000000e-002,-1.452358e-005
4.100000e-002,-1.888765e-005
4.200000e-002,-1.284508e-005
4.300000e-002,-4.116921e-006
4.400000e-002,2.471585e-007
4.500000e-002,5.282634e-006
4.600000e-002,2.471585e-007
4.700000e-002,1.254253e-006
4.800000e-002,9.185548e-007
4.900000e-002,-8.853962e-008
5.000000e-002,1.589951e-006
5.100000e-002,9.185548e-007
5.200000e-002,2.471585e-007
5.300000e-002,-4.242378e-007
5.400000e-002,5.618336e-006
5.500000e-002,7.632525e-006
5.600000e-002,4.946936e-006
5.700000e-002,2.261351e-006
5.800000e-002,2.261351e-006
5.900000e-002,2.932747e-006
6.000000e-002,-7.599359e-007
6.100000e-002,1.925649e-006
6.200000e-002,5.282634e-006
6.300000e-002,2.261351e-006
6.400000e-002,-2.774128e-006
6.500000e-002,2.597049e-006
6.600000e-002,4.946936e-006
6.700000e-002,2.932747e-006
6.800000e-002,-8.853962e-008
6.900000e-002,-4.242378e-007
7.000000e-002,-3.109826e-006
7.100000e-002,-3.781223e-006
7.200000e-002,-7.138211e-006
7.300000e-002,-8.816702e-006
7.400000e-002,-5.459713e-006
7.500000e-002,-2.438430e-006
7.600000e-002,-2.438430e-006
7.700000e-002,3.604143e-006
7.800000e-002,5.282634e-006
7.900000e-002,2.597049e-006
8.000000e-002,4.275540e-006
8.100000e-002,4.275540e-006
8.200000e-002,-1.095634e-006
8.300000e-002,-1.049519e-005
8.400000e-002,-1.653777e-005
8.500000e-002,-2.325174e-005
8.600000e-002,-1.049519e-005
8.700000e-002,-4.242378e-007
8.800000e-002,1.589951e-006
8.900000e-002,3.604143e-006
9.000000e-002,7.632525e-006
9.100000e-002,8.975321e-006
9.200000e-002,9.311019e-006
9.300000e-002,1.031811e-005
9.400000e-002,8.303921e-006
9.500000e-002,4.611238e-006
9.600000e-002,3.604143e-006
9.700000e-002,-4.242378e-007
9.800000e-002,-2.438430e-006
9.900000e-002,-5.124015e-006
1.000000e-001,-2.774128e-006
1.010000e-001,2.471585e-007
1.020000e-001,-1.095634e-006
1.030000e-001,-4.242378e-007
1.040000e-001,4.275540e-006
1.050000e-001,-4.242378e-007
1.060000e-001,1.254253e-006
1.070000e-001,2.471585e-007
1.080000e-001,2.261351e-006
1.090000e-001,-1.095634e-006
1.100000e-001,1.254253e-006
1.110000e-001,5.282634e-006
1.120000e-001,5.618336e-006
1.130000e-001,-3.109826e-006
1.140000e-001,-2.102732e-006
1.150000e-001,9.185548e-007
1.160000e-001,-4.116921e-006
1.170000e-001,-8.481004e-006
1.180000e-001,-6.466808e-006
1.190000e-001,-8.853962e-008
1.200000e-001,2.261351e-006
1.210000e-001,2.471585e-007
1.220000e-001,-4.242378e-007
1.230000e-001,-3.109826e-006
1.240000e-001,-1.767034e-006
1.250000e-001,-7.599359e-007
1.260000e-001,-1.095634e-006
1.270000e-001,-4.452619e-006
1.280000e-001,-1.767034e-006
1.290000e-001,1.589951e-006
1.300000e-001,-4.242378e-007
1.310000e-001,-1.095634e-006
1.320000e-001,-4.242378e-007
1.330000e-001,-1.431336e-006
1.340000e-001,1.254253e-006
1.350000e-001,-4.452619e-006
1.360000e-001,-3.109826e-006
1.370000e-001,2.261351e-006
1.380000e-001,5.618336e-006
1.390000e-001,2.932747e-006
1.400000e-001,2.261351e-006
1.410000e-001,-1.431336e-006
1.420000e-001,3.939842e-006
1.430000e-001,-2.438430e-006
1.440000e-001,-1.431336e-006
1.450000e-001,1.589951e-006
1.460000e-001,6.289732e-006
1.470000e-001,6.961128e-006
1.480000e-001,5.618336e-006
1.490000e-001,2.932747e-006
1.500000e-001,-1.431336e-006
1.510000e-001,-5.459713e-006
1.520000e-001,-1.318078e-005
1.530000e-001,-1.183799e-005
1.540000e-001,-7.138211e-006
1.550000e-001,3.604143e-006
1.560000e-001,-8.853962e-008
1.570000e-001,4.611238e-006
1.580000e-001,5.954034e-006
1.590000e-001,-2.774128e-006
1.600000e-001,-5.124015e-006
1.610000e-001,2.261351e-006
1.620000e-001,3.939842e-006
1.630000e-001,3.604143e-006
1.640000e-001,2.471585e-007
1.650000e-001,-1.431336e-006
1.660000e-001,-4.116921e-006
1.670000e-001,-1.095634e-006
1.680000e-001,5.828566e-007
1.690000e-001,3.604143e-006
1.700000e-001,2.932747e-006
1.710000e-001,-2.774128e-006
1.720000e-001,-2.438430e-006
1.730000e-001,-4.116921e-006
1.740000e-001,-2.438430e-006
1.750000e-001,-1.431336e-006
1.760000e-001,2.261351e-006
1.770000e-001,1.589951e-006
1.780000e-001,6.625430e-006
1.790000e-001,8.975321e-006
