# Label: Avanti Sensor 1: EMG 1 Sampling frequency: 1.000000e+003 Number of points: 21690 X start: 0.000000e+000 Unit: V Domain Unit: s
# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 1446 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 1446 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 1446 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.500000e+002
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: EMG 1 [V],X [s],Avanti Sensor 1: Pitch 1 [degrees],X [s],Avanti Sensor 1: Roll 1 [degrees],X [s],Avanti Sensor 1: Yaw 1 [degrees]
0.00000e+000,-8.17426e-004,0.00000e+000,-6.37862e+001,0.00000e+000,3.04195e+001,0.00000e+000,-8.13048e+001
1.00000e-003,-4.81459e-003,1.50000e-002,-6.47345e+001,1.50000e-002,3.00856e+001,1.50000e-002,-8.33467e+001
2.00000e-003,-8.83558e-003,3.00000e-002,-6.55977e+001,3.00000e-002,3.01353e+001,3.00000e-002,-8.45198e+001
3.00000e-003,-1.09827e-002,4.50000e-002,-6.64356e+001,4.50000e-002,3.06720e+001,4.50000e-002,-8.56802e+001
4.00000e-003,-1.08447e-002,6.00000e-002,-6.69879e+001,6.00000e-002,3.09826e+001,6.00000e-002,-8.62429e+001
5.00000e-003,-1.06927e-002,7.50000e-002,-6.73027e+001,7.50000e-002,3.14770e+001,7.50000e-002,-8.61889e+001
6.00000e-003,-1.05013e-002,9.00000e-002,-6.73069e+001,9.00000e-002,3.19930e+001,9.00000e-002,-8.56430e+001
7.00000e-003,-1.03120e-002,1.05000e-001,-6.74783e+001,1.05000e-001,3.20864e+001,1.05000e-001,-8.48735e+001
8.00000e-003,-1.01304e-002,1.20000e-001,-6.78075e+001,1.20000e-001,3.19533e+001,1.20000e-001,-8.44534e+001
9.00000e-003,-9.95312e-003,1.35000e-001,-6.83800e+001,1.35000e-001,3.17540e+001,1.35000e-001,-8.40589e+001
1.00000e-002,-9.78091e-003,1.50000e-001,-6.88233e+001,1.50000e-001,3.19225e+001,1.50000e-001,-8.39893e+001
1.10000e-002,-9.61340e-003,1.65000e-001,-6.91888e+001,1.65000e-001,3.23481e+001,1.65000e-001,-8.40649e+001
1.20000e-002,-9.44991e-003,1.80000e-001,-6.95773e+001,1.80000e-001,3.31106e+001,1.80000e-001,-8.43408e+001
