# Label: Avanti Sensor 1: Pitch 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Roll 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Label: Avanti Sensor 1: Yaw 1 Sampling frequency: 6.666667e+001 Number of points: 4158 X start: 0.000000e+000 Unit: degrees Domain Unit: s
# Start Trigger Method: None
# Stop Trigger Method: None
# Use Camera: NO
# Video File Path: 
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
# System Gain: 1.000000e+000
# A/D card Gain: 1.000000e+000
# Bit Resolution: -1.000000e+000
# Bias: 0.000000e+000
# High pass cutoff frequency: 0.000000e+000
# Low pass cutoff frequency: 0.000000e+000
X [s],Avanti Sensor 1: Pitch 1 [degrees],Avanti Sensor 1: Roll 1 [degrees],Avanti Sensor 1: Yaw 1 [degrees]
0.000000e+000,-9.216440e-001,-3.146166e-001,-1.473857e+001
1.500000e-002,-9.250930e-001,-3.106806e-001,-1.473576e+001
3.000000e-002,-9.275619e-001,-3.025923e-001,-1.471830e+001
4.500000e-002,-9.258360e-001,-2.989896e-001,-1.473497e+001
6.000000e-002,-9.266551e-001,-3.021272e-001,-1.475033e+001
7.500000e-002,-9.239612e-001,-3.042265e-001,-1.475394e+001
9.000000e-002,-9.221656e-001,-3.032503e-001,-1.475987e+001
1.050000e-001,-9.261032e-001,-3.085408e-001,-1.475807e+001
1.200000e-001,-9.276528e-001,-3.114186e-001,-1.475555e+001
1.350000e-001,-9.267340e-001,-3.108978e-001,-1.476458e+001
1.500000e-001,-9.248185e-001,-3.131249e-001,-1.476180e+001
1.650000e-001,-9.237313e-001,-3.113022e-001,-1.475204e+001
1.800000e-001,-9.306393e-001,-3.126781e-001,-1.476269e+001
1.950000e-001,-9.321092e-001,-3.130650e-001,-1.476375e+001
2.100000e-001,-9.286491e-001,-3.148392e-001,-1.478003e+001
2.250000e-001,-9.279087e-001,-3.141756e-001,-1.479832e+001
2.400000e-001,-9.317591e-001,-3.123533e-001,-1.481649e+001
2.550000e-001,-9.352115e-001,-3.143262e-001,-1.481314e+001
2.700000e-001,-9.320031e-001,-3.191290e-001,-1.478840e+001
2.850000e-001,-9.296357e-001,-3.173338e-001,-1.479208e+001
3.000000e-001,-9.291910e-001,-3.190599e-001,-1.480450e+001
3.150000e-001,-9.316276e-001,-3.202927e-001,-1.479287e+001
3.300000e-001,-9.270419e-001,-3.174468e-001,-1.479831e+001
3.450000e-001,-9.301381e-001,-3.166375e-001,-1.481723e+001
3.600000e-001,-9.314575e-001,-3.186489e-001,-1.480002e+001
3.750000e-001,-9.312207e-001,-3.123194e-001,-1.479686e+001
3.900000e-001,-9.268522e-001,-3.103366e-001,-1.479741e+001
4.050000e-001,-9.263536e-001,-3.076895e-001,-1.477137e+001
4.200000e-001,-9.263120e-001,-3.098515e-001,-1.476787e+001
4.350000e-001,-9.203289e-001,-3.150517e-001,-1.478331e+001
4.500000e-001,-9.215991e-001,-3.152392e-001,-1.477127e+001
4.650000e-001,-9.243509e-001,-3.145278e-001,-1.477644e+001
